Source,Target,Type,id,label,timeset,weight
0,1,Directed,0,,"<[1.0, 1.0]>",1.0
0,2,Directed,1,,"<[1.0, 5.0]>",1.0
0,3,Directed,2,,"<[1.0, 2.0]>",1.0
0,4,Directed,3,,"<[1.0, 3.0]>",1.0
0,5,Directed,4,,"<[1.0, 4.0]>",1.0
0,6,Directed,5,,"<[1.0, Infinity]>",1.0
0,11,Directed,6,,"<[2.0, 5.0]>",1.0
0,16,Directed,7,,"<[3.0, Infinity]>",1.0
0,21,Directed,8,,"<[4.0, Infinity]>",1.0
1,0,Directed,9,,"<[1.0, 1.0]>",1.0
1,2,Directed,10,,"<[1.0, 1.0]>",1.0
1,3,Directed,11,,"<[1.0, 1.0]>",1.0
1,4,Directed,12,,"<[1.0, 1.0]>",1.0
1,5,Directed,13,,"<[1.0, 1.0]>",1.0
2,0,Directed,14,,"<[1.0, 5.0]>",1.0
2,1,Directed,15,,"<[1.0, 1.0]>",1.0
2,3,Directed,16,,"<[1.0, 2.0]>",1.0
2,4,Directed,17,,"<[1.0, 3.0]>",1.0
2,5,Directed,18,,"<[1.0, 4.0]>",1.0
2,7,Directed,19,,"<[1.0, Infinity]>",1.0
2,12,Directed,20,,"<[2.0, Infinity]>",1.0
2,17,Directed,21,,"<[3.0, 6.0]>",1.0
2,22,Directed,22,,"<[4.0, Infinity]>",1.0
2,26,Directed,23,,"<[5.0, Infinity]>",1.0
3,0,Directed,24,,"<[1.0, 2.0]>",1.0
3,1,Directed,25,,"<[1.0, 1.0]>",1.0
3,2,Directed,26,,"<[1.0, 2.0]>",1.0
3,4,Directed,27,,"<[1.0, 2.0]>",1.0
3,5,Directed,28,,"<[1.0, 2.0]>",1.0
3,8,Directed,29,,"<[1.0, Infinity]>",1.0
4,0,Directed,30,,"<[1.0, 3.0]>",1.0
4,1,Directed,31,,"<[1.0, 1.0]>",1.0
4,2,Directed,32,,"<[1.0, 3.0]>",1.0
4,3,Directed,33,,"<[1.0, 2.0]>",1.0
4,5,Directed,34,,"<[1.0, 3.0]>",1.0
4,9,Directed,35,,"<[1.0, Infinity]>",1.0
4,13,Directed,36,,"<[2.0, Infinity]>",1.0
5,0,Directed,37,,"<[1.0, 4.0]>",1.0
5,1,Directed,38,,"<[1.0, 1.0]>",1.0
5,2,Directed,39,,"<[1.0, 4.0]>",1.0
5,3,Directed,40,,"<[1.0, 2.0]>",1.0
5,4,Directed,41,,"<[1.0, 3.0]>",1.0
5,10,Directed,42,,"<[1.0, Infinity]>",1.0
5,14,Directed,43,,"<[2.0, 4.0]>",1.0
5,18,Directed,44,,"<[3.0, Infinity]>",1.0
6,0,Directed,45,,"<[1.0, Infinity]>",1.0
6,2,Directed,46,,"<[1.0, Infinity]>",1.0
6,3,Directed,47,,"<[1.0, Infinity]>",1.0
6,4,Directed,48,,"<[1.0, Infinity]>",1.0
6,5,Directed,49,,"<[1.0, Infinity]>",1.0
6,15,Directed,50,,"<[2.0, Infinity]>",1.0
6,19,Directed,51,,"<[3.0, Infinity]>",1.0
6,23,Directed,52,,"<[4.0, Infinity]>",1.0
6,27,Directed,53,,"<[5.0, Infinity]>",1.0
6,31,Directed,54,,"<[6.0, Infinity]>",1.0
6,61,Directed,55,,"<[12.0, Infinity]>",1.0
7,0,Directed,56,,"<[1.0, Infinity]>",1.0
7,2,Directed,57,,"<[1.0, Infinity]>",1.0
7,3,Directed,58,,"<[1.0, Infinity]>",1.0
7,4,Directed,59,,"<[1.0, Infinity]>",1.0
7,5,Directed,60,,"<[1.0, Infinity]>",1.0
7,15,Directed,61,,"<[2.0, Infinity]>",1.0
7,19,Directed,62,,"<[3.0, Infinity]>",1.0
7,23,Directed,63,,"<[4.0, Infinity]>",1.0
7,27,Directed,64,,"<[5.0, Infinity]>",1.0
