id,label,timeset,weight
0,0,"<[1.0, 5.0]>",1
1,1,"<[1.0, 1.0]>",1
2,2,"<[1.0, 6.0]>",1
3,3,"<[1.0, 2.0]>",1
4,4,"<[1.0, 3.0]>",1
5,5,"<[1.0, 4.0]>",1
6,01,"<[1.0, Infinity]>",1
7,21,"<[1.0, Infinity]>",1
8,31,"<[1.0, Infinity]>",1
9,41,"<[1.0, Infinity]>",1
10,51,"<[1.0, Infinity]>",1
11,03,"<[2.0, 11.0]>",1
12,23,"<[2.0, Infinity]>",1
13,43,"<[2.0, Infinity]>",1
14,53,"<[2.0, 15.0]>",1
15,13,"<[2.0, Infinity]>",1
16,04,"<[3.0, Infinity]>",1
17,24,"<[3.0, 8.0]>",1
18,54,"<[3.0, Infinity]>",1
19,14,"<[3.0, Infinity]>",1
20,34,"<[3.0, 14.0]>",1
21,05,"<[4.0, Infinity]>",1
22,25,"<[4.0, Infinity]>",1
23,15,"<[4.0, Infinity]>",1
24,35,"<[4.0, Infinity]>",1
25,45,"<[4.0, 13.0]>",1
26,20,"<[5.0, Infinity]>",1
27,10,"<[5.0, Infinity]>",1
28,30,"<[5.0, Infinity]>",1
29,40,"<[5.0, 9.0]>",1
30,50,"<[5.0, Infinity]>",1
31,12,"<[6.0, 12.0]>",1
32,32,"<[6.0, Infinity]>",1
33,42,"<[6.0, 10.0]>",1
34,52,"<[6.0, 7.0]>",1
35,02,"<[6.0, Infinity]>",1
36,052,"<[7.0, 23.0]>",1
37,252,"<[7.0, 23.0]>",1
38,152,"<[7.0, Infinity]>",1
39,352,"<[7.0, Infinity]>",1
40,452,"<[7.0, Infinity]>",1
41,124,"<[8.0, Infinity]>",1
42,324,"<[8.0, 26.0]>",1
43,424,"<[8.0, 26.0]>",1
44,024,"<[8.0, 20.0]>",1
45,524,"<[8.0, 20.0]>",1
46,040,"<[9.0, Infinity]>",1
47,540,"<[9.0, Infinity]>",1
48,140,"<[9.0, Infinity]>",1
49,340,"<[9.0, 25.0]>",1
50,240,"<[9.0, 25.0]>",1
51,042,"<[10.0, 22.0]>",1
52,542,"<[10.0, 22.0]>",1
53,142,"<[10.0, 24.0]>",1
54,342,"<[10.0, 24.0]>",1
55,242,"<[10.0, Infinity]>",1
56,203,"<[11.0, Infinity]>",1
57,103,"<[11.0, 19.0]>",1
58,303,"<[11.0, 19.0]>",1
59,503,"<[11.0, Infinity]>",1
60,403,"<[11.0, Infinity]>",1
61,012,"<[12.0, Infinity]>",1
62,212,"<[12.0, 29.0]>",1
63,312,"<[12.0, 29.0]>",1
64,412,"<[12.0, 27.0]>",1
65,512,"<[12.0, 27.0]>",1
66,045,"<[13.0, Infinity]>",1
67,545,"<[13.0, Infinity]>",1
68,145,"<[13.0, 28.0]>",1
69,345,"<[13.0, 28.0]>",1
70,245,"<[13.0, Infinity]>",1
71,234,"<[14.0, Infinity]>",1
72,434,"<[14.0, 21.0]>",1
73,534,"<[14.0, 16.0]>",1
74,134,"<[14.0, 16.0]>",1
75,034,"<[14.0, 21.0]>",1
76,053,"<[15.0, Infinity]>",1
77,253,"<[15.0, 17.0]>",1
78,153,"<[15.0, 17.0]>",1
79,353,"<[15.0, 18.0]>",1
80,453,"<[15.0, 18.0]>",1
81,534,"<[16.0, Infinity]>",2
82,253,"<[17.0, Infinity]>",2
83,353,"<[18.0, Infinity]>",2
84,103,"<[19.0, Infinity]>",2
85,024,"<[20.0, Infinity]>",2
86,034,"<[21.0, Infinity]>",2
87,042,"<[22.0, Infinity]>",2
88,052,"<[23.0, Infinity]>",2
89,142,"<[24.0, Infinity]>",2
90,240,"<[25.0, Infinity]>",2
91,324,"<[26.0, Infinity]>",2
92,412,"<[27.0, Infinity]>",2
93,145,"<[28.0, Infinity]>",2
94,212,"<[29.0, Infinity]>",2
