Source,Target,Type,id,label,timeset,weight
0,1,Directed,615,,"<[1.0, 1.0]>",1.0
0,2,Directed,616,,"<[1.0, 5.0]>",1.0
0,3,Directed,617,,"<[1.0, 2.0]>",1.0
0,4,Directed,618,,"<[1.0, 3.0]>",1.0
0,5,Directed,619,,"<[1.0, 4.0]>",1.0
0,6,Directed,620,,"<[1.0, Infinity]>",1.0
0,11,Directed,621,,"<[2.0, 5.0]>",1.0
0,16,Directed,622,,"<[3.0, Infinity]>",1.0
0,21,Directed,623,,"<[4.0, Infinity]>",1.0
1,0,Directed,624,,"<[1.0, 1.0]>",1.0
1,2,Directed,625,,"<[1.0, 1.0]>",1.0
1,3,Directed,626,,"<[1.0, 1.0]>",1.0
1,4,Directed,627,,"<[1.0, 1.0]>",1.0
1,5,Directed,628,,"<[1.0, 1.0]>",1.0
2,0,Directed,629,,"<[1.0, 5.0]>",1.0
2,1,Directed,630,,"<[1.0, 1.0]>",1.0
2,3,Directed,631,,"<[1.0, 2.0]>",1.0
2,4,Directed,632,,"<[1.0, 3.0]>",1.0
2,5,Directed,633,,"<[1.0, 4.0]>",1.0
2,7,Directed,634,,"<[1.0, Infinity]>",1.0
2,12,Directed,635,,"<[2.0, Infinity]>",1.0
2,17,Directed,636,,"<[3.0, 6.0]>",1.0
2,22,Directed,637,,"<[4.0, Infinity]>",1.0
2,26,Directed,638,,"<[5.0, Infinity]>",1.0
3,0,Directed,639,,"<[1.0, 2.0]>",1.0
3,1,Directed,640,,"<[1.0, 1.0]>",1.0
3,2,Directed,641,,"<[1.0, 2.0]>",1.0
3,4,Directed,642,,"<[1.0, 2.0]>",1.0
3,5,Directed,643,,"<[1.0, 2.0]>",1.0
3,8,Directed,644,,"<[1.0, Infinity]>",1.0
4,0,Directed,645,,"<[1.0, 3.0]>",1.0
4,1,Directed,646,,"<[1.0, 1.0]>",1.0
4,2,Directed,647,,"<[1.0, 3.0]>",1.0
4,3,Directed,648,,"<[1.0, 2.0]>",1.0
4,5,Directed,649,,"<[1.0, 3.0]>",1.0
4,9,Directed,650,,"<[1.0, Infinity]>",1.0
4,13,Directed,651,,"<[2.0, Infinity]>",1.0
5,0,Directed,652,,"<[1.0, 4.0]>",1.0
5,1,Directed,653,,"<[1.0, 1.0]>",1.0
5,2,Directed,654,,"<[1.0, 4.0]>",1.0
5,3,Directed,655,,"<[1.0, 2.0]>",1.0
5,4,Directed,656,,"<[1.0, 3.0]>",1.0
5,10,Directed,657,,"<[1.0, Infinity]>",1.0
5,14,Directed,658,,"<[2.0, 4.0]>",1.0
5,18,Directed,659,,"<[3.0, Infinity]>",1.0
6,0,Directed,660,,"<[1.0, Infinity]>",1.0
6,2,Directed,661,,"<[1.0, Infinity]>",1.0
6,3,Directed,662,,"<[1.0, Infinity]>",1.0
6,4,Directed,663,,"<[1.0, Infinity]>",1.0
6,5,Directed,664,,"<[1.0, Infinity]>",1.0
6,15,Directed,665,,"<[2.0, Infinity]>",1.0
6,19,Directed,666,,"<[3.0, Infinity]>",1.0
6,23,Directed,667,,"<[4.0, Infinity]>",1.0
6,27,Directed,668,,"<[5.0, Infinity]>",1.0
6,31,Directed,669,,"<[6.0, Infinity]>",1.0
6,61,Directed,670,,"<[12.0, Infinity]>",1.0
7,0,Directed,671,,"<[1.0, Infinity]>",1.0
7,2,Directed,672,,"<[1.0, Infinity]>",1.0
7,3,Directed,673,,"<[1.0, Infinity]>",1.0
7,4,Directed,674,,"<[1.0, Infinity]>",1.0
7,5,Directed,675,,"<[1.0, Infinity]>",1.0
7,15,Directed,676,,"<[2.0, Infinity]>",1.0
7,19,Directed,677,,"<[3.0, Infinity]>",1.0
7,23,Directed,678,,"<[4.0, Infinity]>",1.0
7,27,Directed,679,,"<[5.0, Infinity]>",1.0
7,31,Directed,680,,"<[6.0, Infinity]>",1.0
7,62,Directed,681,,"<[12.0, Infinity]>",1.0
7,94,Directed,682,,"<[29.0, Infinity]>",1.0
8,0,Directed,683,,"<[1.0, Infinity]>",1.0
8,2,Directed,684,,"<[1.0, Infinity]>",1.0
8,3,Directed,685,,"<[1.0, Infinity]>",1.0
8,4,Directed,686,,"<[1.0, Infinity]>",1.0
8,5,Directed,687,,"<[1.0, Infinity]>",1.0
8,15,Directed,688,,"<[2.0, Infinity]>",1.0
8,19,Directed,689,,"<[3.0, Infinity]>",1.0
8,23,Directed,690,,"<[4.0, Infinity]>",1.0
8,27,Directed,691,,"<[5.0, Infinity]>",1.0
8,31,Directed,692,,"<[6.0, Infinity]>",1.0
8,63,Directed,693,,"<[12.0, Infinity]>",1.0
8,94,Directed,694,,"<[29.0, Infinity]>",1.0
9,0,Directed,695,,"<[1.0, Infinity]>",1.0
9,2,Directed,696,,"<[1.0, Infinity]>",1.0
9,3,Directed,697,,"<[1.0, Infinity]>",1.0
9,4,Directed,698,,"<[1.0, Infinity]>",1.0
9,5,Directed,699,,"<[1.0, Infinity]>",1.0
9,15,Directed,700,,"<[2.0, Infinity]>",1.0
9,19,Directed,701,,"<[3.0, Infinity]>",1.0
9,23,Directed,702,,"<[4.0, Infinity]>",1.0
9,27,Directed,703,,"<[5.0, Infinity]>",1.0
9,31,Directed,704,,"<[6.0, Infinity]>",1.0
9,64,Directed,705,,"<[12.0, Infinity]>",1.0
9,92,Directed,706,,"<[27.0, Infinity]>",1.0
10,0,Directed,707,,"<[1.0, Infinity]>",1.0
10,2,Directed,708,,"<[1.0, Infinity]>",1.0
10,3,Directed,709,,"<[1.0, Infinity]>",1.0
10,4,Directed,710,,"<[1.0, Infinity]>",1.0
10,5,Directed,711,,"<[1.0, Infinity]>",1.0
10,15,Directed,712,,"<[2.0, Infinity]>",1.0
10,19,Directed,713,,"<[3.0, Infinity]>",1.0
10,23,Directed,714,,"<[4.0, Infinity]>",1.0
10,27,Directed,715,,"<[5.0, Infinity]>",1.0
10,31,Directed,716,,"<[6.0, Infinity]>",1.0
10,65,Directed,717,,"<[12.0, Infinity]>",1.0
10,92,Directed,718,,"<[27.0, Infinity]>",1.0
11,0,Directed,719,,"<[2.0, 5.0]>",1.0
11,2,Directed,720,,"<[2.0, 6.0]>",1.0
11,4,Directed,721,,"<[2.0, 3.0]>",1.0
11,5,Directed,722,,"<[2.0, 4.0]>",1.0
11,8,Directed,723,,"<[2.0, Infinity]>",1.0
11,20,Directed,724,,"<[3.0, 11.0]>",1.0
11,24,Directed,725,,"<[4.0, Infinity]>",1.0
11,28,Directed,726,,"<[5.0, Infinity]>",1.0
11,32,Directed,727,,"<[6.0, Infinity]>",1.0
12,0,Directed,728,,"<[2.0, Infinity]>",1.0
12,2,Directed,729,,"<[2.0, Infinity]>",1.0
12,4,Directed,730,,"<[2.0, Infinity]>",1.0
12,5,Directed,731,,"<[2.0, Infinity]>",1.0
12,8,Directed,732,,"<[2.0, Infinity]>",1.0
12,20,Directed,733,,"<[3.0, Infinity]>",1.0
12,24,Directed,734,,"<[4.0, Infinity]>",1.0
12,28,Directed,735,,"<[5.0, Infinity]>",1.0
12,32,Directed,736,,"<[6.0, Infinity]>",1.0
12,71,Directed,737,,"<[14.0, Infinity]>",1.0
13,0,Directed,738,,"<[2.0, Infinity]>",1.0
13,2,Directed,739,,"<[2.0, Infinity]>",1.0
13,4,Directed,740,,"<[2.0, Infinity]>",1.0
13,5,Directed,741,,"<[2.0, Infinity]>",1.0
13,8,Directed,742,,"<[2.0, Infinity]>",1.0
13,20,Directed,743,,"<[3.0, Infinity]>",1.0
13,24,Directed,744,,"<[4.0, Infinity]>",1.0
13,28,Directed,745,,"<[5.0, Infinity]>",1.0
13,32,Directed,746,,"<[6.0, Infinity]>",1.0
13,72,Directed,747,,"<[14.0, Infinity]>",1.0
13,86,Directed,748,,"<[21.0, Infinity]>",1.0
14,0,Directed,749,,"<[2.0, 5.0]>",1.0
14,2,Directed,750,,"<[2.0, 6.0]>",1.0
14,4,Directed,751,,"<[2.0, 3.0]>",1.0
14,5,Directed,752,,"<[2.0, 4.0]>",1.0
14,8,Directed,753,,"<[2.0, Infinity]>",1.0
14,20,Directed,754,,"<[3.0, 14.0]>",1.0
14,24,Directed,755,,"<[4.0, Infinity]>",1.0
14,28,Directed,756,,"<[5.0, Infinity]>",1.0
14,32,Directed,757,,"<[6.0, Infinity]>",1.0
14,73,Directed,758,,"<[14.0, 15.0]>",1.0
15,0,Directed,759,,"<[2.0, Infinity]>",1.0
15,2,Directed,760,,"<[2.0, Infinity]>",1.0
15,4,Directed,761,,"<[2.0, Infinity]>",1.0
15,5,Directed,762,,"<[2.0, Infinity]>",1.0
15,8,Directed,763,,"<[2.0, Infinity]>",1.0
15,20,Directed,764,,"<[3.0, Infinity]>",1.0
15,24,Directed,765,,"<[4.0, Infinity]>",1.0
15,28,Directed,766,,"<[5.0, Infinity]>",1.0
15,32,Directed,767,,"<[6.0, Infinity]>",1.0
15,74,Directed,768,,"<[14.0, Infinity]>",1.0
